	sentence	v	a	d
772	avenge	4.0	6.4	5.9
773	avenging	4.9	6.1	6.6
774	avenue	5.7	3.3	5.2
775	average	4.9	3.3	5.6
776	aversion	4.0	5.1	4.8
777	avert	5.2	3.6	5.2
778	aviation	5.9	4.0	5.6
779	aviator	6.4	4.7	6.1
780	avid	5.7	4.3	5.7
781	avocado	6.3	4.0	5.2
782	avoid	4.1	3.9	4.8
783	avoidance	3.4	5.0	4.9
784	await	5.3	2.9	4.7
785	awake	6.8	5.5	6.7
786	awaken	6.0	4.3	6.1
787	awakening	6.4	4.7	6.5
788	award	7.9	5.8	6.9
789	aware	6.9	4.7	7.0
790	awareness	6.4	3.7	7.2
791	awe	6.8	3.8	5.8
792	awed	6.0	4.2	6.0
793	awesome	7.9	6.0	7.1
794	awful	2.3	4.9	3.1
795	awkward	3.0	4.6	4.2
796	awkwardness	3.9	4.6	4.1
797	awning	5.8	2.9	5.3
798	axe	3.5	5.6	5.6
799	axis	4.2	3.9	5.6
800	axle	4.7	2.4	5.3
801	babble	4.6	4.0	4.7
802	babe	6.9	4.2	6.8
803	baboon	5.6	5.1	5.0
804	baby	6.7	5.0	4.9
805	babysit	4.7	3.7	5.7
806	babysitter	6.6	3.5	5.7
807	Bacardi	5.7	4.4	5.8
808	bachelor	5.6	4.1	5.1
809	bachelorette	5.5	4.1	4.9
810	back	4.8	2.6	5.2
811	backboard	4.7	3.4	5.5
812	backbone	5.2	4.0	6.4
813	backdoor	4.9	3.8	5.4
814	backdrop	5.4	2.7	5.3
815	backer	4.7	3.5	5.6
816	backfire	3.0	4.8	3.5
817	backgammon	5.6	2.1	4.8
818	background	5.0	3.7	5.6
819	backhand	3.5	4.6	4.9
820	backpack	6.0	3.7	6.5
821	backroom	4.6	3.5	5.1
822	backseat	4.8	3.3	3.9
823	backside	4.6	3.7	5.2
824	backtrack	4.3	3.2	5.3
825	backup	5.8	3.4	5.8
826	backwater	4.3	3.8	5.0
827	backwoods	5.0	2.6	5.2
828	backyard	6.1	3.9	6.8
829	bacon	7.5	4.2	6.1
830	bacteria	3.3	4.2	3.4
831	bacterial	3.7	5.0	3.6
832	bad	3.2	4.9	3.6
833	badass	6.1	6.7	6.0
834	badge	5.2	4.4	5.8
835	badger	4.6	4.4	4.6
836	badness	3.6	4.4	4.1
837	bag	5.0	3.4	5.6
838	bagel	6.3	3.6	5.2
839	baggage	4.5	4.0	6.0
840	baggie	5.4	3.6	5.3
841	baggy	4.4	4.0	5.2
842	bagman	4.7	2.7	3.9
843	bail	3.8	3.9	4.0
844	bailiff	4.0	4.3	4.9
845	bait	4.0	3.5	6.0
846	bake	7.2	5.0	6.8
847	bakery	6.8	3.9	5.7
848	balance	6.8	4.1	5.5
849	balcony	6.1	4.0	5.1
850	bald	2.8	3.7	4.5
851	balding	3.0	3.4	3.6
852	baldy	4.0	2.7	5.2
853	bale	4.9	2.8	4.9
854	ball	6.1	3.5	5.5
855	ballad	6.3	3.6	6.3
856	ballast	4.7	4.1	4.9
857	ballerina	6.8	3.7	5.6
858	ballet	6.9	3.7	5.6
859	ballgame	7.0	4.6	5.3
860	ballistic	5.0	4.1	4.3
861	ballistics	4.0	5.6	4.7
862	balloon	6.8	3.9	5.4
863	ballot	5.3	4.2	5.4
864	ballpark	5.4	3.8	5.2
865	ballplayer	5.3	4.1	6.2
866	ballpoint	5.1	2.5	5.3
867	ballroom	5.8	4.3	5.7
868	ballsy	4.9	5.3	5.9
869	balm	6.2	3.4	5.6
870	balmy	5.2	4.2	5.5
871	bam	5.0	4.0	4.9
872	bamboo	6.3	3.2	5.6
873	ban	3.4	5.2	5.9
874	banana	6.7	3.2	6.0
875	band	6.4	4.5	5.6
876	bandage	3.6	3.6	4.4
877	bandanna	5.3	3.2	5.4
878	bandit	3.9	5.2	4.8
879	bandstand	5.8	3.5	5.2
880	bandwagon	4.0	4.0	5.2
881	bandwidth	5.3	3.4	4.9
882	bane	3.9	4.0	3.5
883	bang	5.1	6.1	4.9
884	banger	4.0	3.3	5.4
885	banish	3.8	4.7	4.6
886	banister	5.4	2.6	5.8
887	banjo	6.4	3.5	5.1
888	bank	6.0	4.2	4.8
889	banker	4.9	3.4	5.3
890	banking	5.5	4.2	4.7
891	bankroll	6.0	5.0	5.6
892	bankrupt	2.2	5.5	3.4
893	bankruptcy	2.5	5.4	3.3
894	banner	5.2	3.6	5.2
895	banquet	6.1	4.6	5.0
896	banshee	3.6	5.1	4.2
897	banter	5.5	3.5	5.3
898	banzai	5.6	4.7	5.7
899	baptism	6.6	4.0	5.2
900	baptize	5.6	3.3	6.6
901	bar	5.0	4.5	5.5
902	barbarian	3.1	6.3	3.7
903	barbaric	3.4	5.6	4.3
904	barbecue	7.1	5.6	5.6
905	barbed	3.8	5.1	4.6
906	barber	4.9	3.2	5.9
907	barbershop	5.4	3.2	5.8
908	barbie doll	5.2	4.0	5.6
909	bard	4.4	2.9	5.3
910	bare	5.5	4.6	5.6
911	barefoot	6.9	4.3	6.8
912	barf	2.3	5.0	3.7
913	bargain	7.6	5.5	6.1
914	bargaining	5.4	4.1	6.4
915	barge	5.4	3.2	4.5
916	baritone	6.0	4.0	4.7
917	barium	4.9	2.9	4.8
918	bark	4.9	3.4	4.8
919	barkeep	5.7	3.7	5.5
920	barley	5.0	3.6	5.8
921	barmaid	4.8	4.6	4.6
922	barman	5.3	5.0	4.7
923	barn	6.2	3.6	5.6
924	barnacle	5.3	3.5	3.7
925	barnyard	5.6	2.6	5.2
926	barometer	5.0	2.9	3.8
927	baron	3.9	3.9	5.0
928	baroness	4.8	4.4	5.5
929	barracuda	4.8	5.2	3.5
930	barrage	4.2	4.0	4.6
931	barrel	4.9	3.4	4.9
932	barren	3.8	3.6	3.7
933	barricade	4.3	4.2	4.8
934	barrier	4.5	4.7	4.9
935	barrister	5.0	3.2	5.0
936	barroom	4.9	4.6	4.7
937	bartender	5.6	5.0	6.2
938	barter	5.6	4.7	6.4
939	base	5.7	3.1	6.4
940	baseball	5.8	3.2	6.0
941	baseball bat	5.8	3.4	5.9
942	baseline	5.4	2.5	5.2
943	baseman	5.2	4.0	5.0
944	basement	4.8	3.3	5.3
945	bash	3.7	5.1	4.5
946	bashful	5.6	4.4	4.7
947	basic	5.5	3.0	6.0
948	basics	5.9	3.1	5.6
949	basil	6.4	3.8	5.4
950	basin	5.5	2.8	4.8
951	basis	5.4	2.7	5.2
952	bask	6.4	3.9	6.2
953	basket	5.7	2.5	5.3
954	basketball	5.7	4.4	5.0
955	bass	5.2	4.9	5.9
956	bass guitar	6.3	4.9	6.4
957	bastard	3.3	5.1	2.6
958	bat	4.8	4.6	4.3
959	batch	5.6	3.3	5.4
960	bath	7.0	3.2	6.6
961	bathe	7.5	3.2	6.5
962	bathhouse	5.3	4.0	5.7
963	bathing	6.1	3.2	6.9
964	bathrobe	6.5	4.0	5.5
965	bathroom	5.3	2.9	5.2
966	bathtub	6.3	3.6	5.9
967	baton	4.6	3.6	5.4
968	battalion	5.1	4.8	4.8
969	batter	5.2	3.8	6.0
970	battered	3.0	3.9	3.2
971	battering	2.8	4.7	4.4
972	battery	4.3	4.0	4.4
973	battle	3.5	6.2	5.6
974	battlefield	3.9	6.5	4.0
975	battleground	4.1	5.8	4.1
976	battlements	3.7	4.5	5.1
977	battleship	4.4	3.4	5.3
978	batty	4.4	4.0	4.2
979	bauble	5.7	3.8	4.7
980	bawl	3.6	4.9	4.1
981	bay	7.2	3.3	4.9
982	bayonet	4.7	4.4	5.2
983	bayou	6.2	3.8	5.4
984	bazaar	6.4	5.9	5.5
985	bazooka	5.4	6.1	4.0
986	be	6.2	3.4	5.5
987	beach	7.2	5.1	5.7
988	beacon	5.2	4.5	5.3
989	bead	6.0	3.4	3.9
990	beady	4.6	3.7	4.7
991	beak	4.9	2.8	4.3
992	beaker	5.5	3.8	6.0
993	beam	5.7	3.6	6.5
994	bean	6.0	3.0	5.6
995	beanbag	5.9	3.0	6.2
996	beanie	5.6	3.6	5.4
997	bear	5.3	4.5	3.6
998	bearable	5.7	3.6	5.5
999	beard	5.1	3.2	5.4
1000	bearded	5.7	5.5	6.1
1001	bearer	5.0	4.7	5.7
1002	bearings	5.4	3.3	5.3
1003	bearskin	4.2	4.0	5.6
1004	beast	4.4	5.8	4.1
1005	beastly	4.2	6.2	4.4
1006	beat	4.4	5.5	5.6
1007	beater	3.1	4.2	4.8
1008	beatnik	3.9	4.2	4.6
1009	beautiful	7.6	5.7	6.2
1010	beauty	7.6	4.9	5.6
1011	beaver	5.0	4.0	5.2
1012	bebop	6.3	4.0	5.2
1013	become	6.3	3.4	6.2
1014	bed	7.2	3.0	6.7
1015	bedding	5.0	3.6	6.0
1016	bedpan	2.7	5.0	4.0
1017	bedroom	7.0	4.9	6.8
1018	bedside	5.9	3.0	5.9
1019	bedspread	6.0	2.7	6.0
1020	bedtime	6.6	3.8	7.0
1021	bee	3.7	5.6	5.3
1022	beef	6.1	4.4	6.3
1023	beefsteak	5.5	4.0	5.6
1024	beehive	4.3	5.4	4.5
1025	beep	5.1	3.8	4.7
1026	beeper	4.9	3.2	4.2
1027	beer	5.7	4.3	5.3
1028	bees	5.1	5.5	4.2
1029	beeswax	5.2	3.6	5.5
1030	beetle	4.2	4.4	5.9
1031	befall	3.9	4.2	4.3
1032	befriend	7.1	4.2	6.3
1033	beg	3.7	4.6	3.2
1034	beggar	2.9	4.3	4.2
1035	begin	6.4	2.8	5.7
1036	beginner	5.2	3.5	4.8
1037	beginning	6.4	3.0	5.7
1038	begrudge	4.0	4.5	5.3
1039	behave	6.2	3.7	7.0
1040	behavior	5.3	4.3	5.9
1041	behavioral	5.1	4.1	6.0
1042	behold	6.5	3.9	6.6
1043	beholden	5.0	3.2	4.8
1044	beige	5.3	2.6	5.0
1045	belated	4.2	3.2	5.3
1046	belay	5.5	3.4	4.7
1047	belch	4.2	4.8	4.8
1048	belief	6.1	4.0	7.2
1049	believable	6.9	4.0	5.3
1050	believe	7.0	3.3	6.6
1051	believer	5.6	4.1	6.4
1052	belittle	2.7	4.0	2.9
1053	bell	5.7	4.7	6.2
1054	bellboy	5.0	3.1	5.1
1055	bellhop	5.5	4.0	5.4
1056	belligerent	3.1	5.0	3.6
1057	bellman	5.4	3.2	4.9
1058	bellow	4.6	4.8	6.3
1059	belly	4.4	3.8	5.0
1060	bellybutton	5.7	5.0	5.2
1061	bellyful	5.8	3.3	5.2
1062	belong	6.5	2.9	5.4
1063	belongings	6.1	4.0	6.2
1064	beloved	7.4	4.9	6.8
1065	belt	4.4	3.4	5.8
1066	beluga	5.1	3.8	5.7
1067	bench	5.5	3.5	5.8
1068	bend	5.8	4.4	6.0
1069	benefactor	6.0	3.0	4.5
1070	beneficial	6.6	4.2	6.3
1071	beneficiary	6.2	4.4	6.5
1072	benefit	6.9	3.5	6.2
1073	benevolence	6.3	4.4	5.4
1074	benevolent	6.0	3.6	5.0
1075	benign	5.9	3.3	6.0
1076	benzene	4.5	4.0	4.9
1077	bequeath	4.6	4.4	5.6
1078	bereaved	3.6	5.2	4.4
1079	bereavement	3.2	4.4	4.0
1080	beret	5.0	3.8	4.8
1081	berserk	3.8	5.1	4.3
1082	berth	4.5	2.7	5.3
1083	beryllium	5.6	3.9	4.9
1084	beseech	4.9	4.8	4.3
1085	bestow	6.5	3.8	6.3
1086	bestseller	6.8	5.9	6.1
1087	bet	5.0	4.8	5.5
1088	beta	5.6	3.6	4.4
1089	betray	2.5	5.3	3.9
1090	betrayal	2.2	5.7	3.1
1091	beverage	7.2	3.4	6.6
1092	beware	3.3	5.2	5.3
1093	bewildered	4.3	4.6	4.4
1094	bias	4.0	4.3	5.4
1095	biased	4.2	5.5	4.6
1096	bib	5.8	3.6	5.2
1097	bible	5.7	3.6	5.0
1098	biblical	6.5	3.7	5.3
1099	bicarbonate	4.9	3.5	4.9
1100	bicentennial	6.3	4.7	5.5
1101	biceps	6.0	4.4	6.4
1102	bicker	2.8	5.1	4.5
1103	bicycle	6.7	4.0	6.2
1104	bid	5.2	4.0	5.7
1105	bidder	5.4	3.5	5.3
1106	bidding	5.3	4.9	5.8
1107	bide	4.5	3.6	5.4
1108	big	5.6	4.3	5.6
1109	bigamy	3.2	4.4	4.2
1110	biggie	5.3	3.8	5.4
1111	bighorn	4.8	4.6	5.3
1112	bigmouth	3.7	5.3	5.6
1113	bigot	2.8	5.4	3.1
1114	bigotry	2.2	6.2	4.5
1115	bike	6.1	3.6	5.9
1116	biker	5.3	4.0	4.7
1117	bikini	5.6	5.4	5.6
1118	bilateral	5.2	2.9	5.2
1119	bile	2.6	4.1	3.5
1120	bilge	4.6	3.7	4.8
1121	bill	3.1	4.0	4.0
1122	billboard	4.2	4.0	5.2
1123	billiard	6.1	4.0	6.1
1124	billing	3.2	5.2	4.5
1125	billion	6.8	5.4	6.5
1126	billionaire	6.0	6.8	6.4
1127	bimbo	3.1	3.5	4.8
1128	bin	5.0	3.0	5.2
1129	binary	4.6	3.3	4.6
1130	bind	4.8	4.5	4.2
1131	binder	5.2	3.2	5.3
1132	binding	4.2	4.2	4.3
1133	binge	3.5	5.2	5.2
1134	bingo	5.6	5.0	5.2
1135	binoculars	5.6	2.6	6.1
1136	bio	5.2	3.1	6.0
1137	biochemical	4.0	4.2	4.2
1138	biochemist	5.4	4.2	5.3
1139	biochemistry	5.5	3.7	5.1
1140	biographer	5.5	3.0	5.6
1141	biography	5.4	3.0	6.0
1142	biological	6.6	3.5	5.1
1143	biologist	5.8	3.3	5.8
1144	biology	6.0	4.1	4.4
1145	bionic	5.4	5.2	4.9
1146	biopsy	3.1	3.5	3.9
1147	bipolar	3.3	5.0	3.2
1148	birch	6.5	2.8	5.0
1149	bird	6.8	3.8	5.9
1150	birdcage	5.2	4.2	4.5
1151	birdie	6.5	3.4	5.4
1152	birdman	5.0	4.2	5.5
1153	birth	6.5	5.8	5.0
1154	birthday	6.4	4.6	6.1
1155	birthing	5.3	6.4	4.9
1156	birthmark	4.6	3.0	4.2
1157	birthplace	7.0	3.4	4.8
1158	birthright	5.6	4.6	6.8
1159	biscuit	6.4	2.9	6.3
1160	bisexual	4.7	4.5	5.1
1161	bishop	4.5	3.8	4.8
1162	bisque	5.4	2.8	5.2
1163	bistro	6.0	4.3	5.2
1164	bit	5.0	3.9	5.5
1165	bitch	2.6	6.0	3.6
1166	bitchy	3.1	4.8	4.2
1167	bite	3.5	5.1	6.6
1168	biter	3.6	5.3	4.5
1169	bitsy	5.3	3.0	4.8
1170	bitter	3.6	4.6	4.6
1171	bitterness	3.2	5.1	4.6
1172	bittersweet	5.1	4.2	4.5
1173	bitty	5.2	3.6	5.2
1174	biz	4.7	4.4	5.3
1175	bizarre	4.4	5.0	4.5
1176	blab	3.7	4.7	4.5
1177	blabbermouth	2.9	4.5	4.3
1178	black	5.4	3.6	5.5
1179	black snake	2.6	5.8	3.8
1180	blackberry	6.6	3.2	5.4
1181	blackbird	5.6	3.5	5.0
1182	blackboard	5.0	4.0	6.0
1183	blacken	4.1	4.0	4.7
1184	blackface	3.2	4.4	4.5
1185	blackjack	5.0	5.0	5.0
1186	blacklist	3.4	4.0	3.2
1187	blackmail	2.6	5.4	4.0
1188	blackmailer	2.0	5.1	2.8
1189	blackness	3.8	4.5	5.2
1190	blackout	3.7	4.9	2.8
1191	blacksmith	5.6	3.2	6.0
1192	bladder	4.6	3.8	5.5
1193	blade	3.9	4.5	4.6
1194	blame	2.9	4.8	3.3
1195	blameless	5.4	3.7	5.2
1196	bland	3.9	2.4	5.8
1197	blank	4.7	2.9	4.7
1198	blanket	7.0	2.2	6.8
1199	blare	4.8	4.7	4.8
1200	blase	4.5	3.6	4.4
1201	blasphemous	3.2	4.6	3.3
1202	blasphemy	3.0	5.6	4.6
1203	blast	4.4	4.5	4.4
1204	blaster	4.9	5.0	5.4
1205	blastoff	6.3	5.2	5.3
1206	blatant	3.7	4.6	5.4
1207	blaze	4.5	5.3	4.2
1208	blazer	5.5	4.2	5.5
1209	bleach	4.6	5.3	4.9
1210	bleak	4.0	3.2	3.8
1211	bleed	2.5	5.0	3.8
1212	bleeder	3.3	5.9	3.6
1213	bleep	5.0	4.8	5.3
1214	blemish	3.1	4.8	5.1
1215	blend	5.6	3.5	5.4
1216	blender	5.2	4.0	5.5
1217	bless	7.0	4.6	6.3
1218	blessed	7.5	3.6	5.3
1219	blessing	7.2	4.2	6.1
1220	bleu	4.8	3.7	5.4
1221	blight	3.1	4.2	3.9
1222	blimp	5.1	3.6	4.7
1223	blind	2.8	3.7	3.0
1224	blindfold	4.6	3.6	3.5
1225	blinding	3.4	5.2	4.0
1226	blindness	2.6	4.8	2.4
1227	blink	5.2	3.1	4.8
1228	blip	4.5	4.4	4.6
1229	bliss	7.6	4.1	6.4
1230	blissful	7.7	3.7	6.1
1231	blister	2.9	4.7	4.5
1232	blistering	4.2	3.6	4.3
1233	blitz	5.6	5.9	5.4
1234	blizzard	4.4	6.5	3.6
1235	bloat	3.4	3.8	3.9
1236	bloated	2.8	3.0	3.2
1237	blob	3.9	3.6	5.4
1238	block	4.5	4.2	6.2
1239	blockade	3.4	3.4	4.4
1240	blockage	3.7	4.2	3.6
1241	blockbuster	5.7	5.4	5.8
1242	blockhead	4.8	4.2	4.9
1243	blog	5.1	3.6	6.1
1244	bloke	5.0	4.2	4.8
1245	blond	6.1	3.0	5.4
1246	blonde	6.0	5.8	5.6
1247	blood	3.5	5.8	3.9
1248	bloodbath	2.0	4.9	3.3
1249	bloodhound	5.0	4.6	4.8
1250	bloodline	5.7	4.0	3.7
1251	bloodshed	3.6	5.2	3.2
1252	bloodshot	2.8	4.7	4.0
1253	bloodstream	5.0	3.8	4.7
1254	bloodthirsty	2.6	4.9	4.7
1255	bloody	2.9	5.8	3.8
1256	bloom	6.4	4.9	6.0
1257	bloomers	6.3	4.6	5.1
1258	blooming	7.2	3.0	5.0
1259	blossom	7.0	4.8	5.6
1260	blot	4.4	3.0	5.3
1261	blotter	5.5	4.1	5.3
1262	blouse	5.7	3.2	6.6
1263	blow	6.1	4.5	5.0
1264	blowfish	4.6	4.0	4.5
1265	blowjob	6.2	6.5	6.1
1266	blowout	4.3	4.8	4.4
1267	blowtorch	5.2	5.8	4.7
1268	blubber	3.8	4.3	4.7
1269	blue	6.5	3.7	5.8
1270	blue spruce	5.6	3.1	4.8
1271	blueberry	7.1	3.2	5.7
1272	bluebird	7.3	3.6	5.9
1273	bluegrass	5.6	3.4	5.9
1274	bluejay	6.6	3.4	5.0
1275	blueprint	5.0	3.7	6.0
1276	blues	3.4	3.6	5.4
1277	bluff	4.6	4.2	5.2
1278	blunder	4.0	4.1	3.6
1279	blunt	4.6	4.6	5.6
1280	blur	4.4	3.9	5.0
1281	blurry	4.1	2.8	3.6
1282	blurt	4.9	4.6	4.0
1283	blush	6.4	4.7	4.2
1284	boa	3.6	5.2	3.6
1285	boa constrictor	3.8	5.1	2.7
1286	boar	5.0	3.1	4.7
1287	board	5.3	3.5	5.4
1288	board game	6.3	4.4	5.0
1289	boarder	5.2	3.8	5.4
1290	boarding	5.2	3.2	4.7
1291	boardroom	4.4	3.8	5.4
1292	boardwalk	6.9	4.1	6.2
1293	boast	4.2	4.4	6.3
1294	boat	6.4	4.0	5.6
1295	boathouse	6.0	4.8	5.0
1296	boating	6.6	4.6	5.8
1297	boatload	5.4	4.3	5.2
1298	boatman	5.4	3.6	6.3
1299	bobcat	5.4	5.0	4.4
1300	bobsled	6.0	4.6	5.5
1301	bode	4.7	4.0	4.9
1302	bodega	5.0	4.0	3.9
1303	bodily	4.7	3.7	4.3
1304	body	6.0	4.6	5.8
1305	bodyguard	5.3	4.6	5.6
1306	bog	3.6	3.7	5.0
1307	bogey	3.6	4.9	3.8
1308	bogeyman	3.8	4.7	3.7
1309	bogus	2.8	5.3	3.6
1310	bohemian	6.0	4.8	4.2
1311	boil	4.5	5.4	5.4
1312	boiler	4.5	3.2	5.1
1313	bold	6.7	4.9	6.4
1314	bollocks	4.7	4.4	4.8
1315	bolt	3.9	4.6	4.6
1316	bomb	2.5	5.7	3.1
1317	bombardier	4.7	4.5	4.0
1318	bombardment	3.1	5.5	3.0
1319	bomber	2.8	6.2	3.9
1320	bombing	2.1	7.1	3.4
1321	bombshell	5.7	5.5	4.5
1322	bonanza	6.1	4.4	5.7
1323	bonbon	6.7	4.2	6.1
1324	bondage	4.4	5.6	4.3
1325	bonding	6.4	3.8	6.2
1326	bondsman	3.6	4.2	4.5
1327	bone	5.2	4.8	6.0
1328	bonehead	4.0	4.5	5.1
1329	boner	5.3	5.2	4.8
1330	bonfire	6.5	4.7	5.4
1331	bong	4.3	4.0	6.0
1332	bonkers	5.0	5.1	4.3
1333	bonnet	4.9	3.0	6.0
1334	bonny	5.1	3.2	5.2
1335	bonsai	6.4	4.1	6.0
1336	bonus	8.0	6.9	6.2
1337	bony	5.0	4.9	5.3
1338	boob	5.3	5.3	5.8
1339	booby	7.2	5.3	5.9
1340	booger	3.2	3.8	4.3
1341	boogeyman	3.6	5.1	3.0
1342	boogie	3.8	4.6	5.0
1343	book	7.0	3.1	6.4
1344	bookcase	6.1	3.4	6.1
1345	bookie	4.6	4.0	4.0
1346	bookkeeper	5.6	3.6	6.0
1347	bookkeeping	5.2	3.5	5.8
1348	booklet	5.5	3.6	5.6
1349	bookmaker	5.6	3.1	5.9
1350	bookmark	6.3	3.0	6.5
1351	bookshop	6.7	4.2	7.0
1352	bookstore	7.2	4.2	7.2
1353	bookworm	6.7	2.5	5.3
1354	boom	4.7	5.6	5.1
1355	boomer	4.1	3.8	5.3
1356	boomerang	5.9	4.6	5.1
1357	boon	4.8	3.4	5.7
1358	boost	6.5	4.7	6.2
1359	booster	4.5	3.4	4.8
1360	boot	5.3	4.0	6.2
1361	booth	5.2	4.4	5.2
1362	bootleg	3.7	4.7	5.0
1363	bootlegger	5.6	4.8	5.6
1364	boots	5.9	3.5	5.1
1365	booty	5.6	5.4	5.3
1366	booze	5.0	5.1	5.2
1367	bop	5.6	4.0	5.4
1368	bopper	5.3	3.2	5.2
1369	border	4.7	4.3	4.7
1370	borderline	4.0	4.4	4.8
1371	bored	3.0	3.6	5.0
1372	boredom	2.8	2.6	5.0
1373	boring	2.7	2.8	6.0
1374	born	7.3	3.9	3.8
1375	boron	4.1	2.9	5.3
1376	borough	5.0	3.4	5.2
1377	borrow	5.2	4.6	6.2
1378	bosom	6.4	4.7	5.0
1379	boss	4.8	4.4	4.6
1380	bossy	2.9	4.7	4.7
1381	botanical	5.8	3.2	5.7
1382	botany	5.6	3.0	4.8
1383	bother	4.4	4.2	4.2
1384	bottle	5.5	3.3	5.9
1385	bottleneck	4.5	4.5	5.0
1386	bottling	5.4	3.6	5.0
1387	bottom	3.6	3.2	3.4
1388	bottomless	5.7	4.3	4.6
1389	botulism	3.4	4.6	3.3
1390	bounce	6.1	4.7	6.2
1391	bouncer	4.4	4.3	5.3
1392	bouncy	6.6	4.5	5.5
1393	bound	4.0	5.6	4.8
1394	boundary	4.8	4.2	4.0
1395	bountiful	6.3	4.4	6.2
1396	bounty	4.4	4.8	5.4
1397	bouquet	6.7	3.3	5.8
1398	bourbon	5.7	6.0	5.7
1399	bout	3.9	3.7	5.3
1400	boutique	6.1	4.3	5.9
1401	bovine	4.4	3.5	6.2
1402	bow	5.5	3.8	6.0
1403	bowel	3.2	3.6	4.5
1404	bowels	3.2	3.7	5.0
1405	bowl	5.7	3.2	5.6
1406	bowler	5.2	3.6	5.4
1407	bowling	6.7	4.0	5.2
1408	box	5.3	2.7	4.7
1409	boxcar	5.5	4.2	5.0
1410	boxer	5.2	4.1	5.6
1411	boxers	5.0	4.5	6.0
1412	boxing	4.5	5.7	5.6
1413	boy	5.8	4.1	5.5
1414	boycott	4.2	5.0	6.5
1415	boyfriend	7.1	4.9	5.2
1416	boyhood	5.4	3.4	5.4
1417	boyish	5.7	4.6	5.6
1418	boysenberry	6.0	3.2	5.8
1419	bozo	4.4	4.3	4.5
1420	bra	5.9	3.9	5.6
1421	brace	4.8	3.9	5.0
1422	bracelet	6.5	4.0	5.0
1423	bracket	4.6	3.2	5.0
1424	brag	4.0	3.5	5.3
1425	braid	5.8	3.9	5.6
1426	brain	6.2	3.4	6.3
1427	brainless	3.6	4.0	4.1
1428	brainstorm	6.6	4.3	6.6
1429	brainwash	3.1	5.9	2.9
1430	brainy	6.3	5.0	6.9
1431	brake	4.9	3.8	5.7
1432	bran	4.8	2.3	5.0
1433	branch	5.2	2.7	4.9
1434	brand	5.0	2.8	4.6
1435	brandy	5.7	3.9	5.5
1436	brash	4.4	3.6	5.3
1437	brass	5.0	4.0	6.0
1438	brass knuckle	4.2	5.2	5.5
1439	brassiere	6.0	4.7	5.5
1440	brat	2.7	4.7	4.6
1441	bratwurst	5.6	2.8	4.8
1442	bravado	5.9	4.7	6.0
1443	brave	7.4	5.0	6.8
1444	bravery	7.4	5.8	6.6
1445	brawl	3.6	5.4	4.7
1446	brawn	5.0	4.6	5.6
1447	brazen	5.0	5.7	5.6
1448	breach	3.7	3.5	4.8
1449	bread	6.5	3.8	6.0
1450	breadth	4.6	3.6	5.5
1451	break	5.1	4.7	4.5
1452	breakaway	4.7	4.6	5.8
1453	breakdown	3.5	4.7	3.6
1454	breaker	3.9	4.8	5.5
1455	breakfast	7.4	5.0	6.8
1456	breaking and entering	2.0	5.7	2.7
1457	breakthrough	6.4	5.7	6.6
1458	breakup	2.2	6.3	3.7
1459	breast	6.6	5.4	5.0
1460	breath	6.6	2.4	5.8
1461	breathe	7.2	2.6	6.2
1462	breather	6.0	2.8	5.4
1463	breathless	5.0	5.7	5.2
1464	breathtaking	7.0	5.4	5.5
1465	breech	3.1	3.6	5.0
1466	breed	5.7	4.1	6.2
1467	breeder	4.7	3.8	5.3
1468	breeding	5.6	4.0	5.4
1469	breeze	7.6	3.2	4.6
1470	breezy	6.3	4.2	5.8
1471	brethren	5.6	3.7	5.5
1472	brew	5.4	3.5	5.7
1473	brewery	5.7	4.8	5.5
1474	brewing	6.6	5.8	5.2
1475	briar	5.0	4.0	4.6
1476	bribe	3.3	4.4	4.6
1477	bribery	3.6	5.0	4.1
1478	brick	4.6	2.5	5.0
1479	bridal	6.2	4.8	5.5
1480	bride	6.8	4.5	6.1
1481	bridegroom	6.1	4.3	4.8
1482	bridesmaid	6.2	4.8	5.0
1483	bridge	5.4	3.5	4.8
1484	brief	6.0	3.4	5.4
1485	briefcase	5.2	3.6	6.3
1486	briefing	4.8	3.6	5.9
1487	brig	4.0	3.3	3.5
1488	brigade	4.4	4.4	5.6
1489	bright	6.8	5.0	6.4
1490	brighten	7.4	5.3	6.8
1491	brightness	7.0	4.4	5.8
1492	brilliance	7.1	5.2	6.6
1493	brilliant	7.5	6.0	7.2
1494	brim	5.2	4.0	4.8
1495	brimstone	3.7	3.9	3.6
1496	bring	5.7	4.3	5.7
1497	brink	5.0	4.2	4.5
1498	brisk	5.9	5.3	6.1
1499	brisket	5.6	4.3	5.2
1500	brittle	3.9	4.4	4.5
1501	bro	5.3	3.8	5.1
1502	broach	4.5	3.3	4.6
1503	broad	5.1	3.3	4.2
1504	broadcast	4.9	4.4	4.9
1505	broadcasting	4.7	4.1	5.6
1506	broaden	6.4	3.2	5.6
1507	broadside	3.8	3.2	4.6
1508	broadsword	5.2	4.6	6.0
1509	broccoli	6.0	2.5	5.1
1510	brochure	4.7	3.4	5.3
1511	broken	2.8	4.9	3.8
1512	brokenhearted	2.5	5.4	3.5
1513	broker	4.2	3.8	5.4
1514	brokerage	4.5	3.6	5.2
1515	bromide	4.4	2.8	4.6
1516	bronco	5.8	4.2	4.3
1517	bronze	5.8	3.6	5.4
1518	brooch	5.3	3.6	5.0
1519	brood	4.6	2.6	4.0
